924	236	74
736	18	930
400	83	840
678	858	329
939	28	489
716	645	758
888	600	192
244	705	481
244	740	705
601	258	886
959	813	564
484	286	505
174	187	756
58	961	192
446	198	831
287	309	881
265	747	96
70	159	718
276	528	393
909	317	236
765	106	792
955	517	327
516	965	486
819	273	151
66	898	456
519	992	472
94	519	862
965	516	406
899	170	928
902	880	139
222	796	902
487	534	993
373	414	460
533	967	215
435	584	883
859	969	107
969	859	369
135	694	304
124	322	121
533	215	333
891	86	59
659	787	954
904	832	347
826	981	243
185	981	50
328	928	15
22	678	905
99	865	171
653	971	368
426	482	773
980	799	160
934	109	175
511	223	952
840	26	701
926	115	22
714	986	854
898	419	250
712	377	571
971	75	247
633	530	634
80	557	291
498	266	550
717	230	826
885	570	544
998	492	785
864	283	927
747	283	864
262	157	533
380	755	467
692	847	518
530	387	587
277	89	791
707	912	95
64	42	392
816	78	459
326	504	203
875	451	298
750	38	651
695	651	257
1	212	906
576	606	216
522	783	83
686	556	857
475	313	511
190	865	798
762	319	456
898	66	323
454	852	47
77	258	807
547	396	143
451	875	532
632	169	387
692	518	890
165	940	901
673	901	940
983	425	168
506	988	884
89	947	791
946	947	344
553	556	686
934	175	470
240	638	365
817	969	369
375	333	215
372	181	734
845	740	145
845	49	922
887	179	55
502	673	940
585	343	782
821	343	554
672	450	531
133	697	687
420	880	796
287	49	309
189	379	483
344	776	946
219	988	214
91	988	506
423	863	475
423	869	413
335	972	751
498	161	41
419	260	433
307	552	188
736	576	828
239	51	576
547	620	396
722	620	336
307	188	90
221	771	224
155	772	350
177	327	517
460	503	74
238	360	84
135	795	961
795	135	117
312	351	875
336	532	875
619	154	684
727	154	469
675	734	501
262	467	479
919	459	801
220	131	693
448	920	709
818	811	398
869	741	23
23	704	536
64	392	810
126	64	794
82	20	99
594	698	191
714	851	986
854	851	25
880	902	796
882	185	139
631	640	268
907	293	499
632	387	436
169	587	387
202	333	375
757	945	128
941	473	381
956	588	291
78	131	220
991	556	470
658	356	499
499	999	860
190	173	368
173	190	567
680	694	669
338	324	93
559	853	790
826	27	717
565	777	108
421	594	777
851	996	480
650	364	922
978	16	824
405	91	789
5	346	150
150	543	702
27	243	853
148	551	41
577	114	655
582	577	295
595	816	458
131	340	598
261	512	621
886	628	512
340	131	332
556	553	783
512	261	886
419	982	273
68	553	267
991	636	857
258	665	807
319	807	665
35	990	702
733	911	646
442	3	527
780	544	839
739	980	100
363	867	389
546	167	742
608	633	656
101	443	926
730	732	979
356	658	950
631	268	176
976	4	73
773	4	354
944	302	966
699	966	761
697	374	450
264	446	133
612	5	706
213	916	929
186	951	776
186	578	2
573	891	339
254	256	943
256	254	215
940	165	57
977	121	900
121	610	124
154	95	684
422	912	707
200	79	213
369	859	767
55	179	440
438	289	474
561	995	65
515	808	884
494	165	901
442	494	901
353	932	237
638	353	105
544	294	885
667	784	294
910	820	489
138	910	644
735	611	778
87	993	534
444	596	562
726	909	123
648	605	679
808	506	884
425	789	506
5	759	706
759	683	208
937	33	890
417	623	381
792	414	765
414	792	268
823	194	830
846	872	508
226	175	290
634	656	633
500	431	931
562	182	444
416	639	800
278	585	782
339	891	59
573	879	256
308	487	723
411	657	765
907	103	195
897	768	270
85	324	357
515	507	808
489	549	861
207	152	526
343	793	782
758	782	793
713	44	410
425	808	218
272	202	711
122	272	894
691	31	141
916	646	911
656	634	636
457	616	633
859	107	848
200	617	834
262	380	467
467	446	479
851	714	552
714	248	552
525	912	974
709	920	136
371	383	29
664	358	794
586	6	42
994	271	68
505	286	805
286	219	805
757	502	945
945	940	57
667	545	784
784	545	153
3	442	673
294	527	885
791	947	946
344	947	493
89	412	654
130	973	835
838	330	768
386	841	893
857	253	686
118	267	624
147	72	881
676	927	260
942	800	560
383	639	385
693	37	220
862	672	531
892	394	262
694	514	892
150	990	5
759	5	990
527	3	885
570	3	729
813	258	77
807	310	77
567	751	972
551	148	230
223	39	952
511	39	12
896	503	516
604	503	460
541	194	134
830	194	33
293	999	499
316	710	34
676	260	140
877	927	283
436	387	652
530	633	61
935	953	728
921	404	7
680	56	734
892	533	669
592	488	760
463	735	695
319	724	310
109	290	175
511	290	223
278	301	942
389	278	363
998	621	545
601	886	261
246	401	984
889	681	974
987	356	314
11	658	781
974	824	432
614	228	949
487	822	723
938	308	723
580	627	255
1	627	754
246	277	661
946	776	951
428	398	19
590	52	269
3	570	885
8	570	729
681	228	824
978	802	789
951	642	866
708	142	76
524	536	568
698	568	536
230	717	551
159	86	445
992	519	94
378	862	459
453	932	168
16	978	983
697	450	149
418	687	697
364	650	287
922	49	650
844	90	188
964	844	399
688	795	117
600	569	542
394	892	514
56	333	372
132	234	330
838	116	841
520	341	980
520	591	715
80	359	746
777	565	391
498	41	551
826	230	925
290	511	457
457	511	313
926	905	101
850	905	497
635	597	641
825	452	136
